EmployeeID,FirstName,LastName,DateOfBirth,Gender,Position,Department,HireDate,Salary,ManagerName
E001,John,Doe,1985-04-15,Male,Software Engineer,IT,2015-06-01,90000,Jane Smith
E002,Jane,Smith,1990-08-23,Female,HR Manager,Human Resources,2012-09-15,105000,Michael Brown
E003,Alex,Johnson,1978-02-05,Non-Binary,Project Manager,Operations,2018-11-30,95000,Emily Davis
E004,Emily,Davis,1995-12-12,Female,Data Analyst,Analytics,2020-03-10,75000,David Clark
E005,Michael,Wilson,1970-09-29,Male,Chief Financial Officer,Finance,2008-07-25,150000,Sophia Martinez
E006,Sophia,Martinez,1983-11-01,Female,Marketing Specialist,Marketing,2017-05-20,80000,Liam Anderson
E007,David,Anderson,1992-06-18,Male,Sales Representative,Sales,2021-01-05,60000,Olivia Clark
E008,Liam,Clark,1988-03-09,Male,System Administrator,IT,2016-09-18,85000,John Doe
E009,Olivia,Lopez,1987-07-27,Female,Content Writer,Communications,2019-04-12,70000,Noah Wilson
E010,Noah,Morris,1993-10-31,Male,Customer Support,Support,2022-08-23,55000,Alex Johnson
